"user_birth_year","user_career","user_sex","location_city","location_region","location_country","date","provider_name","site_type","site_price","develop_time","marketing_spend"
1976,"Assistant","Female","Samborondón","Guayas","Ecuador","2025-03-20","GCP","E-commerce",97,122,1823
1976,"Assistant","Female","Samborondón","Guayas","Ecuador","2024-10-20","GCP","Blog",158,40,1031
1976,"Assistant","Female","Samborondón","Guayas","Ecuador","2023-06-16","Azure","Blog",149,114,847
1977,"Assistant","Male","Takayama","Kōchi Prefecture","Japan","2023-11-08","GCP","Business",18,157,663
1977,"Assistant","Male","Takayama","Kōchi Prefecture","Japan","2024-08-20","AWS","Blog",101,147,1684
2001,"Assistant","Female","Nkove","Rukwa","Tanzania","2025-03-22","Azure","Personal",70,61,932
2001,"Assistant","Female","Nkove","Rukwa","Tanzania","2024-04-13","GCP","Business",185,53,1689
2001,"Assistant","Female","Nkove","Rukwa","Tanzania","2024-07-07","AWS","E-commerce",189,84,788
2001,"Assistant","Female","Nkove","Rukwa","Tanzania","2024-11-12","Azure","E-commerce",193,24,1025
1976,"Administrator","Male","Constantine","Constantine","Algeria","2023-06-29","Azure","Business",25,62,299
2003,"Officer","Female","Ponte da Barca","Viana do Castelo","Portugal","2023-05-17","GCP","Personal",164,42,836
2003,"Officer","Female","Ponte da Barca","Viana do Castelo","Portugal","2024-11-02","AWS","Portfolio",97,86,1887
2003,"Officer","Female","Ponte da Barca","Viana do Castelo","Portugal","2024-02-07","AWS","Personal",18,157,663
2003,"Officer","Female","Ponte da Barca","Viana do Castelo","Portugal","2024-10-05","Azure","Portfolio",75,176,850
1979,"Liaison","Female","Roseau","Saint George Parish","Dominica","2023-11-10","GCP","Blog",183,104,1653
1979,"Liaison","Female","Roseau","Saint George Parish","Dominica","2023-10-10","GCP","Blog",138,116,816
1979,"Liaison","Female","Roseau","Saint George Parish","Dominica","2024-07-08","Azure","Portfolio",90,99,1492
1989,"Assistant","Male","Kelo","Tandjilé Region","Chad","2023-06-02","Azure","Portfolio",97,51,872
1989,"Assistant","Male","Kelo","Tandjilé Region","Chad","2024-01-10","AWS","Blog",97,122,1823
1989,"Assistant","Male","Kelo","Tandjilé Region","Chad","2024-05-06","AWS","E-commerce",187,79,912
1989,"Assistant","Male","Kelo","Tandjilé Region","Chad","2024-08-30","AWS","Blog",174,12,1910
2003,"Supervisor","Female","Saint George's","Saint George Parish","Grenada","2024-03-31","AWS","Blog",35,28,1833
1968,"Agent","Male","Plátanos","West Greece Region","Greece","2023-12-16","GCP","Business",17,124,1037
1961,"Architect","Male","Al Qunayţirah","Quneitra Governorate","Syria","2023-12-05","AWS","Blog",116,13,795
1961,"Architect","Male","Al Qunayţirah","Quneitra Governorate","Syria","2024-03-29","Azure","Personal",34,10,1589
1992,"Director","Male","Varzob","districts of Republican Subordination","Tajikistan","2024-11-08","GCP","Business",77,7,1350
1992,"Director","Male","Varzob","districts of Republican Subordination","Tajikistan","2024-12-10","GCP","Portfolio",109,173,1530
1992,"Director","Male","Varzob","districts of Republican Subordination","Tajikistan","2024-04-26","AWS","Personal",127,89,1386
1992,"Director","Male","Varzob","districts of Republican Subordination","Tajikistan","2023-04-30","AWS","Personal",93,64,629
1983,"Technician","Female","Zhabei","Shanghai","China","2023-11-22","GCP","Blog",106,15,1961
1983,"Technician","Female","Zhabei","Shanghai","China","2023-05-05","Azure","Blog",175,105,940
1967,"Supervisor","Male","Powiat nowomiejski","Warmian-Masurian Voivodeship","Poland","2024-10-09","GCP","E-commerce",79,9,1449
1999,"Representative","Female","Fada","Ennedi-Ouest","Chad","2024-08-20","GCP","E-commerce",71,115,327
1999,"Representative","Female","Fada","Ennedi-Ouest","Chad","2023-11-14","AWS","E-commerce",189,84,788
1999,"Representative","Female","Fada","Ennedi-Ouest","Chad","2025-04-09","AWS","Blog",200,93,1391
1999,"Representative","Female","Fada","Ennedi-Ouest","Chad","2025-02-27","Azure","Portfolio",175,105,940
1985,"Representative","Female","Iriona","Colón Department","Honduras","2023-12-24","AWS","Blog",83,25,1494
1985,"Representative","Female","Iriona","Colón Department","Honduras","2025-02-09","AWS","E-commerce",57,133,1073
1985,"Representative","Female","Iriona","Colón Department","Honduras","2024-02-18","GCP","Blog",108,80,1323
1985,"Representative","Female","Iriona","Colón Department","Honduras","2025-03-22","GCP","Business",25,64,1692
1960,"Director","Male","Jidd Ḩafş","Capital Governorate","Bahrain","2023-10-06","AWS","Personal",139,72,1014
1960,"Director","Male","Lehututu","Kgalagadi District","Botswana","2024-06-23","Azure","E-commerce",52,127,1030
1960,"Director","Male","Lehututu","Kgalagadi District","Botswana","2024-04-01","AWS","Personal",138,58,1912
1962,"Planner","Male","Cabudare","Lara","Venezuela","2024-10-21","AWS","Blog",64,152,1579
1962,"Planner","Male","Cabudare","Lara","Venezuela","2024-01-23","Azure","Personal",102,137,1813
1962,"Planner","Male","Cabudare","Lara","Venezuela","2023-09-05","AWS","E-commerce",26,19,1416
1968,"Architect","Male","Miastko","Pomeranian Voivodeship","Poland","2024-05-18","Azure","Personal",168,144,1981
1968,"Architect","Male","Miastko","Pomeranian Voivodeship","Poland","2024-06-25","AWS","Personal",133,96,1004
1968,"Assistant","Male","Jonestown","Pennsylvania","United States","2024-11-16","AWS","Portfolio",33,111,1525
1968,"Assistant","Male","Jonestown","Pennsylvania","United States","2024-08-07","Azure","Blog",175,137,271
1968,"Assistant","Male","Jonestown","Pennsylvania","United States","2025-03-08","Azure","Blog",200,93,1391
1996,"Representative","Male","Bohicon","Zou Department","Benin","2023-09-07","GCP","Personal",191,66,1585
1996,"Representative","Male","Bohicon","Zou Department","Benin","2023-05-13","AWS","Portfolio",139,72,1014
1996,"Representative","Male","Bohicon","Zou Department","Benin","2023-08-25","Azure","Blog",183,80,415
1996,"Representative","Male","Bohicon","Zou Department","Benin","2024-07-23","GCP","Business",59,150,1699
1981,"Administrator","Female","Massawa","Northern Red Sea Region","Eritrea","2023-06-21","AWS","E-commerce",25,64,1692
1981,"Administrator","Female","Massawa","Northern Red Sea Region","Eritrea","2024-06-06","Azure","E-commerce",191,167,1850
1993,"Strategist","Male","Ngudzeni","Shiselweni District","Swaziland","2023-08-04","AWS","Business",121,154,1366
1993,"Strategist","Male","Ngudzeni","Shiselweni District","Swaziland","2024-01-11","GCP","Blog",88,73,1657
1980,"Developer","Male","Aţ Ţayyibah","Ma'an Governorate","Jordan","2024-11-02","GCP","E-commerce",191,167,1850
1980,"Developer","Male","Aţ Ţayyibah","Ma'an Governorate","Jordan","2024-08-08","AWS","Blog",75,67,485
1980,"Developer","Male","Aţ Ţayyibah","Ma'an Governorate","Jordan","2023-09-11","Azure","Personal",165,101,1588
1965,"Administrator","Female","Huyện Yên Châu","Sơn La","Vietnam","2023-06-19","AWS","E-commerce",62,63,675
1989,"Administrator","Female","Umm Bāb","Al Rayyan Municipality","Qatar","2024-02-25","GCP","Blog",145,90,1077
1989,"Administrator","Female","Umm Bāb","Al Rayyan Municipality","Qatar","2024-06-20","GCP","E-commerce",143,56,517
1989,"Administrator","Female","Umm Bāb","Al Rayyan Municipality","Qatar","2024-02-01","AWS","Business",43,37,372
1989,"Administrator","Female","Umm Bāb","Al Rayyan Municipality","Qatar","2023-10-19","GCP","E-commerce",160,5,388
2001,"Assistant","Male","Hillsborough","Carriacou and Petite Martinique","Grenada","2024-05-05","GCP","Portfolio",192,68,1362
2001,"Assistant","Male","Hillsborough","Carriacou and Petite Martinique","Grenada","2025-03-12","GCP","Business",85,10,487
2001,"Assistant","Male","Hillsborough","Carriacou and Petite Martinique","Grenada","2025-01-14","GCP","Personal",134,9,296
1996,"Developer","Female","Armenia","Sonsonate Department","El Salvador","2024-06-19","GCP","Personal",157,104,1016
1996,"Developer","Female","Armenia","Sonsonate Department","El Salvador","2024-01-11","Azure","E-commerce",175,60,1665
1996,"Developer","Female","Armenia","Sonsonate Department","El Salvador","2023-08-28","Azure","E-commerce",145,90,1077
1997,"Developer","Female","Yujing","Tainan","Taiwan","2023-06-27","GCP","Portfolio",124,103,1674
1997,"Developer","Female","Yujing","Tainan","Taiwan","2023-08-21","AWS","Portfolio",19,110,1252
1997,"Developer","Female","Yujing","Tainan","Taiwan","2025-04-08","AWS","Business",187,115,1302
1997,"Developer","Female","Yujing","Tainan","Taiwan","2025-01-05","AWS","E-commerce",109,173,1530
1986,"Coordinator","Female","Çerkeş","Çankırı","Turkey","2025-01-14","GCP","E-commerce",103,158,627
1986,"Coordinator","Female","Çerkeş","Çankırı","Turkey","2024-07-12","AWS","Portfolio",168,144,1981
1986,"Coordinator","Female","Çerkeş","Çankırı","Turkey","2023-07-03","GCP","Portfolio",69,152,1756
1986,"Coordinator","Female","Çerkeş","Çankırı","Turkey","2024-06-05","AWS","Personal",126,13,1886
1996,"Manager","Female","Ndjolé","Moyen-Ogooué Province","Gabon","2025-04-01","AWS","Portfolio",191,176,151
1996,"Manager","Female","Ndjolé","Moyen-Ogooué Province","Gabon","2024-07-17","GCP","Portfolio",183,176,1635
1996,"Manager","Female","Ndjolé","Moyen-Ogooué Province","Gabon","2024-02-11","AWS","Business",87,13,779
1996,"Manager","Female","Ndjolé","Moyen-Ogooué Province","Gabon","2024-10-14","GCP","Business",97,122,1823
1977,"Engineer","Male","Folon","Denguélé District","Cote D'Ivoire (Ivory Coast)","2024-05-27","Azure","E-commerce",169,151,427
1977,"Engineer","Male","Folon","Denguélé District","Cote D'Ivoire (Ivory Coast)","2023-07-17","Azure","Personal",70,64,1210
1977,"Engineer","Male","Folon","Denguélé District","Cote D'Ivoire (Ivory Coast)","2024-02-19","GCP","E-commerce",195,133,533
2005,"Consultant","Male","Tenczynek","Lesser Poland Voivodeship","Poland","2025-04-01","GCP","Portfolio",183,104,1653
2005,"Consultant","Male","Tenczynek","Lesser Poland Voivodeship","Poland","2024-12-08","AWS","Portfolio",164,133,1589
2005,"Consultant","Male","Tenczynek","Lesser Poland Voivodeship","Poland","2024-04-08","GCP","Blog",187,79,912
2002,"Director","Male","Auka","Gracias a Dios Department","Honduras","2024-10-25","GCP","Blog",105,172,473
1996,"Associate","Female","Geoje-si","South Gyeongsang Province","South Korea","2024-07-30","Azure","E-commerce",143,56,517
1996,"Associate","Female","Geoje-si","South Gyeongsang Province","South Korea","2024-09-10","AWS","Blog",56,119,365
1996,"Associate","Female","Geoje-si","South Gyeongsang Province","South Korea","2024-08-06","AWS","Portfolio",165,151,776
1979,"Representative","Male","Toshloq","Fergana Region","Uzbekistan","2024-04-25","GCP","Portfolio",71,115,327
1979,"Representative","Male","Toshloq","Fergana Region","Uzbekistan","2024-11-16","Azure","E-commerce",20,180,1137
1979,"Representative","Male","Toshloq","Fergana Region","Uzbekistan","2023-11-02","AWS","Business",187,161,560
1982,"Analyst","Male","Draa el Mizan","Bouïra","Algeria","2023-10-28","Azure","Portfolio",28,169,1401
1982,"Analyst","Male","Draa el Mizan","Bouïra","Algeria","2024-07-06","GCP","Business",36,151,1944
1982,"Analyst","Male","Draa el Mizan","Bouïra","Algeria","2023-07-26","Azure","E-commerce",18,157,663
1982,"Analyst","Male","Draa el Mizan","Bouïra","Algeria","2024-08-11","GCP","Portfolio",70,61,932
1961,"Coordinator","Female","Umm Şalāl Muḩammad","Umm Salal Municipality","Qatar","2025-01-16","AWS","E-commerce",180,132,1452
1961,"Coordinator","Female","Umm Şalāl Muḩammad","Umm Salal Municipality","Qatar","2023-05-13","AWS","Blog",175,137,271
1961,"Coordinator","Female","Umm Şalāl Muḩammad","Umm Salal Municipality","Qatar","2024-10-11","Azure","Portfolio",64,157,568
1963,"Analyst","Female","Fort-Shevchenko","Mangystau Region","Kazakhstan","2023-12-02","GCP","Personal",139,72,1014
1963,"Analyst","Female","Fort-Shevchenko","Mangystau Region","Kazakhstan","2024-03-15","AWS","Blog",164,42,836
1963,"Analyst","Female","Fort-Shevchenko","Mangystau Region","Kazakhstan","2023-06-06","Azure","Personal",113,123,787
2005,"Coordinator","Female","Iralaya","Gracias a Dios Department","Honduras","2024-11-05","GCP","Portfolio",70,110,728
2005,"Coordinator","Female","Iralaya","Gracias a Dios Department","Honduras","2023-06-24","GCP","Business",32,65,1343
2003,"Coordinator","Female","Şoldăneşti","Șoldănești District","Moldova","2024-10-28","AWS","Business",42,17,1629
2003,"Coordinator","Female","Şoldăneşti","Șoldănești District","Moldova","2024-03-05","GCP","Personal",89,69,195
2003,"Coordinator","Female","Şoldăneşti","Șoldănești District","Moldova","2024-02-29","Azure","E-commerce",169,20,1786
1960,"Executive","Male","Åbybro","North Denmark Region","Denmark","2023-05-02","GCP","Blog",97,122,1823
1960,"Executive","Male","Åbybro","North Denmark Region","Denmark","2023-06-20","AWS","Blog",196,64,138
1960,"Executive","Male","Åbybro","North Denmark Region","Denmark","2024-12-06","Azure","E-commerce",142,25,1266
1960,"Executive","Male","Åbybro","North Denmark Region","Denmark","2025-02-10","Azure","Business",97,51,872
1995,"Supervisor","Female","Caza de Baalbek","Baalbek-Hermel Governorate","Lebanon","2023-10-10","AWS","Business",31,83,200
1995,"Supervisor","Female","Caza de Baalbek","Baalbek-Hermel Governorate","Lebanon","2024-05-03","GCP","Blog",90,99,1492
1995,"Supervisor","Female","Caza de Baalbek","Baalbek-Hermel Governorate","Lebanon","2024-04-07","AWS","E-commerce",50,46,360
1995,"Supervisor","Female","Caza de Baalbek","Baalbek-Hermel Governorate","Lebanon","2025-03-15","GCP","Blog",93,27,1199
1996,"Orchestrator","Male","La Salud","Mayabeque Province","Cuba","2024-07-06","GCP","Portfolio",138,100,875
1960,"Planner","Male","Bytča","Žilina Region","Slovakia","2024-06-25","AWS","Blog",35,28,1833
1960,"Planner","Male","Bytča","Žilina Region","Slovakia","2023-08-14","GCP","Blog",156,13,1071
1960,"Planner","Male","Bytča","Žilina Region","Slovakia","2024-09-11","GCP","Personal",191,176,151
1960,"Planner","Male","Bytča","Žilina Region","Slovakia","2023-11-11","GCP","Business",93,27,1199
1964,"Supervisor","Female","Tanjung Sepat","Selangor","Malaysia","2024-10-17","AWS","Portfolio",42,112,773
1964,"Supervisor","Female","Tanjung Sepat","Selangor","Malaysia","2024-10-06","Azure","Blog",180,107,311
1984,"Strategist","Female","Mrgavet","Ararat Province","Armenia","2023-10-03","GCP","Personal",137,102,299
1984,"Strategist","Female","Mrgavet","Ararat Province","Armenia","2024-11-27","AWS","Portfolio",160,44,1066
1984,"Facilitator","Female","Sedarak","Nakhchivan Autonomous Republic","Azerbaijan","2024-10-14","Azure","Blog",122,169,1005
1962,"Executive","Female","Cantagalo District","São Tomé Province","Sao Tome and Principe","2023-08-07","GCP","Business",76,156,1514
1962,"Executive","Female","Cantagalo District","São Tomé Province","Sao Tome and Principe","2024-06-20","AWS","Business",148,10,899
1962,"Liaison","Female","Keren","Anseba Region","Eritrea","2023-09-29","AWS","E-commerce",146,24,1314
1962,"Liaison","Female","Keren","Anseba Region","Eritrea","2024-04-05","Azure","Personal",138,100,875
1990,"Director","Male","Pérgamos","Larnaca District (Larnaka)","Cyprus","2023-06-02","Azure","Business",16,153,1924
1990,"Director","Male","Pérgamos","Larnaca District (Larnaka)","Cyprus","2023-04-23","AWS","Personal",167,159,980
1980,"Director","Male","Fraserburg","Northern Cape","South Africa","2024-07-07","Azure","Portfolio",187,13,1572
1980,"Director","Male","Fraserburg","Northern Cape","South Africa","2024-03-01","AWS","Blog",102,92,1990
1980,"Director","Male","Fraserburg","Northern Cape","South Africa","2024-07-26","Azure","E-commerce",71,115,327
1980,"Director","Male","Fraserburg","Northern Cape","South Africa","2023-04-16","AWS","Blog",87,13,779
1998,"Agent","Male","Hensies","Wallonia","Belgium","2024-03-03","Azure","Personal",149,114,847
1998,"Agent","Male","Hensies","Wallonia","Belgium","2023-06-05","AWS","Personal",89,69,195
1961,"Technician","Male","Ndjolé","Moyen-Ogooué Province","Gabon","2023-10-19","AWS","E-commerce",178,18,1734
1968,"Facilitator","Female","Puntarenas","Puntarenas Province","Costa Rica","2024-06-16","AWS","Business",142,25,1266
1968,"Facilitator","Female","Puntarenas","Puntarenas Province","Costa Rica","2025-01-25","GCP","Blog",87,13,779
1968,"Facilitator","Female","Puntarenas","Puntarenas Province","Costa Rica","2023-09-27","Azure","Business",46,87,1664
1968,"Facilitator","Female","Puntarenas","Puntarenas Province","Costa Rica","2024-04-04","GCP","E-commerce",42,17,1629
1996,"Administrator","Female","Mongar","Mongar District","Bhutan","2024-06-04","GCP","Blog",90,99,1492
1996,"Administrator","Female","Mongar","Mongar District","Bhutan","2023-07-18","Azure","Personal",29,74,644
1996,"Administrator","Female","Mongar","Mongar District","Bhutan","2024-05-28","AWS","E-commerce",146,24,1314
1996,"Administrator","Female","Mongar","Mongar District","Bhutan","2024-12-23","GCP","Business",33,111,1525
2003,"Agent","Male","Pegnitz","Bavaria","Germany","2024-08-19","GCP","Business",180,107,311
2003,"Agent","Male","Pegnitz","Bavaria","Germany","2024-05-18","Azure","E-commerce",20,108,1296
1980,"Executive","Male","Az Zāwīyah","Zawiya District","Libya","2024-10-31","AWS","Business",121,154,1366
1980,"Executive","Male","Az Zāwīyah","Zawiya District","Libya","2023-09-02","GCP","Business",180,132,1452
1968,"Liaison","Female","‘Ajlūn","Ajloun Governorate","Jordan","2023-05-20","Azure","Personal",186,175,826
1968,"Liaison","Female","‘Ajlūn","Ajloun Governorate","Jordan","2023-09-23","AWS","Personal",116,13,795
1968,"Liaison","Female","‘Ajlūn","Ajloun Governorate","Jordan","2024-06-23","AWS","Portfolio",195,133,533
1960,"Planner","Female","Cavally","Dix-Huit Montagnes","Cote D'Ivoire (Ivory Coast)","2024-04-10","AWS","Portfolio",92,138,1205
1989,"Administrator","Female","Bununu","Bauchi","Nigeria","2023-06-29","GCP","Portfolio",29,74,644
1989,"Administrator","Female","Bununu","Bauchi","Nigeria","2024-10-08","Azure","Business",180,132,1452
1989,"Administrator","Female","Bununu","Bauchi","Nigeria","2024-01-18","Azure","Business",72,47,1472
1989,"Administrator","Female","Bununu","Bauchi","Nigeria","2024-09-04","GCP","Personal",88,73,1657
1987,"Agent","Female","Ban Kata","Phuket","Thailand","2024-05-29","Azure","Personal",111,77,1017
1994,"Officer","Female","Karditsomagoúla","Kefalonia Prefecture","Greece","2024-12-09","Azure","Business",178,18,1734
1963,"Analyst","Male","Provincia Hernando Siles","Chuquisaca Department","Bolivia","2025-03-31","Azure","Business",175,60,1665
1963,"Analyst","Male","Provincia Hernando Siles","Chuquisaca Department","Bolivia","2024-03-01","GCP","E-commerce",50,42,978
1963,"Analyst","Male","Provincia Hernando Siles","Chuquisaca Department","Bolivia","2024-06-01","Azure","E-commerce",134,15,1812
1985,"Consultant","Female","Sant Julià de Lòria","Sant Julià de Lòria","Andorra","2024-11-21","AWS","E-commerce",153,157,1900
1985,"Consultant","Female","Sant Julià de Lòria","Sant Julià de Lòria","Andorra","2024-01-02","Azure","E-commerce",97,122,1823
2005,"Executive","Male","Šavnik","Šavnik Municipality","Montenegro","2025-02-15","AWS","Business",127,89,1386
1982,"Planner","Female","Viljevo","Osijek-Baranja County","Croatia","2023-09-03","AWS","Blog",185,71,1463
2005,"Manager","Male","Gjellerup","Central Denmark Region","Denmark","2023-11-12","AWS","Blog",193,107,1310
2005,"Manager","Male","Gjellerup","Central Denmark Region","Denmark","2023-05-31","AWS","E-commerce",89,69,195
2005,"Manager","Male","Gjellerup","Central Denmark Region","Denmark","2023-06-13","Azure","E-commerce",127,89,1386
2003,"Orchestrator","Female","Ribeira Grande","Ribeira Grande","Cape Verde","2023-11-08","GCP","Blog",158,40,1031
2004,"Associate","Female","Kiffa","Assaba Region","Mauritania","2023-06-03","AWS","E-commerce",31,83,200
1966,"Analyst","Female","Huyện Duy Tiên","Hà Nam","Vietnam","2024-03-26","GCP","Portfolio",27,135,259
1966,"Analyst","Female","Huyện Duy Tiên","Hà Nam","Vietnam","2024-09-05","GCP","E-commerce",189,97,283
1964,"Consultant","Male","Sapwuahfik Municipality","Pohnpei State","Micronesia","2023-05-23","AWS","Portfolio",162,111,759
1964,"Consultant","Male","Sapwuahfik Municipality","Pohnpei State","Micronesia","2023-09-12","Azure","E-commerce",105,122,1614
1964,"Consultant","Male","Sapwuahfik Municipality","Pohnpei State","Micronesia","2024-02-08","AWS","Portfolio",77,7,1350
1993,"Orchestrator","Female","Port Moresby","Port Moresby","Papua new Guinea","2023-07-17","GCP","Personal",193,129,574
1993,"Orchestrator","Female","Port Moresby","Port Moresby","Papua new Guinea","2024-07-13","AWS","Blog",146,106,1771
1993,"Orchestrator","Female","Port Moresby","Port Moresby","Papua new Guinea","2023-05-18","AWS","Portfolio",105,172,473
1990,"Engineer","Male","Guinguinéo","Fatick","Senegal","2024-11-16","AWS","Blog",126,13,1886
1978,"Architect","Female","Chalon","Canaries","Saint Lucia","2024-07-26","GCP","Personal",63,65,1065
1966,"Administrator","Female","Jarabacoa","La Vega Province","Dominican Republic","2024-01-05","GCP","Business",189,84,788
1966,"Administrator","Female","Jarabacoa","La Vega Province","Dominican Republic","2023-05-02","GCP","Blog",134,9,296
1966,"Administrator","Female","Jarabacoa","La Vega Province","Dominican Republic","2025-01-04","Azure","Business",125,129,1443
1960,"Associate","Female","Nirit","Central District","Israel","2023-05-27","AWS","E-commerce",28,124,982
1960,"Associate","Female","Nirit","Central District","Israel","2025-04-08","GCP","Blog",146,106,1771
1960,"Associate","Female","Nirit","Central District","Israel","2024-11-30","GCP","Portfolio",43,37,372
1960,"Associate","Female","Nirit","Central District","Israel","2024-12-30","GCP","Business",21,64,719
1988,"Technician","Male","Weno Municipality","Chuuk State","Micronesia","2023-05-02","GCP","Portfolio",151,143,442
1988,"Technician","Male","Weno Municipality","Chuuk State","Micronesia","2024-12-16","AWS","Portfolio",146,24,1300
1968,"Director","Female","Dikhil","Dikhil Region","Djibouti","2024-05-20","AWS","Portfolio",126,13,1886
1968,"Director","Female","Dikhil","Dikhil Region","Djibouti","2023-06-25","Azure","Blog",26,19,1416
1968,"Director","Female","Dikhil","Dikhil Region","Djibouti","2024-01-09","GCP","Personal",164,133,1589
1968,"Director","Female","Dikhil","Dikhil Region","Djibouti","2023-11-20","Azure","Portfolio",158,5,855
1994,"Facilitator","Male","Grande Riviere/Morne Serpent","Gros Islet Quarter","Saint Lucia","2023-12-04","AWS","Business",101,147,1684
1989,"Manager","Female","Woodlands","North West Community Development Council","Singapore","2025-02-26","AWS","E-commerce",140,77,1035
1989,"Manager","Female","Woodlands","North West Community Development Council","Singapore","2024-06-07","Azure","E-commerce",32,65,1343
1989,"Manager","Female","Woodlands","North West Community Development Council","Singapore","2024-01-12","AWS","Portfolio",99,108,1624
1983,"Strategist","Male","Tanrake Village","Nui","Tuvalu","2023-05-05","Azure","Blog",50,46,360
1985,"Manager","Male","Fakaifou Village","Funafuti","Tuvalu","2024-08-07","GCP","Business",32,118,1226
1985,"Manager","Male","Fakaifou Village","Funafuti","Tuvalu","2024-03-19","Azure","Portfolio",168,144,1981
1965,"Administrator","Female","Vingt Cinq","Agaléga","Mauritius","2023-06-30","AWS","E-commerce",191,176,151
1965,"Administrator","Female","Vingt Cinq","Agaléga","Mauritius","2025-01-25","GCP","Portfolio",70,97,1310
1965,"Administrator","Female","Vingt Cinq","Agaléga","Mauritius","2025-02-25","GCP","Personal",42,87,1809
1973,"Strategist","Male","Elbeyli","Kilis","Turkey","2025-04-01","AWS","Blog",90,99,1492
1973,"Strategist","Male","Elbeyli","Kilis","Turkey","2024-10-07","Azure","E-commerce",16,153,1924
1973,"Strategist","Male","Elbeyli","Kilis","Turkey","2025-03-04","Azure","Personal",129,134,1208
1973,"Strategist","Male","Elbeyli","Kilis","Turkey","2024-08-25","GCP","Personal",30,60,1536
1962,"Supervisor","Female","Gualala","Santa Bárbara Department","Honduras","2023-10-26","GCP","E-commerce",68,131,635
1971,"Officer","Male","Tipasa","Tipasa","Algeria","2024-10-01","Azure","Business",167,159,980
1971,"Officer","Male","Tipasa","Tipasa","Algeria","2025-01-10","GCP","Business",143,56,517
1971,"Officer","Male","Tipasa","Tipasa","Algeria","2024-03-08","Azure","Personal",105,122,1614
1971,"Officer","Male","Tipasa","Tipasa","Algeria","2023-07-22","GCP","Personal",187,13,1572
2004,"Agent","Male","Byureghavan","Kotayk Region","Armenia","2023-07-03","GCP","E-commerce",34,10,1589
2004,"Agent","Male","Byureghavan","Kotayk Region","Armenia","2023-05-30","GCP","Business",195,133,533
2004,"Agent","Male","Byureghavan","Kotayk Region","Armenia","2024-07-20","Azure","Portfolio",17,124,1037
2004,"Agent","Male","Byureghavan","Kotayk Region","Armenia","2024-02-02","AWS","Blog",68,131,635
1990,"Designer","Female","Yendi","Northern","Ghana","2023-10-13","Azure","Business",156,68,1803
2003,"Strategist","Male","Bururi","Bururi Province","Burundi","2023-05-30","GCP","Portfolio",121,80,262
2003,"Strategist","Male","Bururi","Bururi Province","Burundi","2024-02-06","Azure","Blog",192,140,1119
2003,"Strategist","Male","Bururi","Bururi Province","Burundi","2023-11-17","Azure","Business",165,101,1588
2003,"Strategist","Male","Bururi","Bururi Province","Burundi","2024-12-08","GCP","Blog",31,161,1051
1987,"Assistant","Male","Nowra Hill","New South Wales","Australia","2025-03-31","Azure","Business",164,133,1589
2004,"Liaison","Male","Yuty","Caazapá","Paraguay","2023-11-15","GCP","Blog",183,176,1635
2004,"Liaison","Male","Yuty","Caazapá","Paraguay","2024-02-12","AWS","Business",120,101,1841
1970,"Facilitator","Female","El Jícaro","Nueva Segovia","Nicaragua","2023-10-15","Azure","Portfolio",138,113,500
1970,"Facilitator","Female","El Jícaro","Nueva Segovia","Nicaragua","2025-02-25","Azure","E-commerce",50,46,360
1970,"Facilitator","Female","El Jícaro","Nueva Segovia","Nicaragua","2023-08-16","AWS","E-commerce",103,158,627
1970,"Facilitator","Female","El Jícaro","Nueva Segovia","Nicaragua","2025-04-01","Azure","E-commerce",105,172,473
1976,"Coordinator","Male","Kanbe","Yangon Region","Myanmar","2023-10-03","Azure","Blog",77,7,1350
1976,"Coordinator","Male","Kanbe","Yangon Region","Myanmar","2023-08-18","Azure","Personal",175,60,1665
1981,"Developer","Female","Asau Village","Vaitupu","Tuvalu","2023-11-25","AWS","Blog",87,13,779
1983,"Executive","Male","Kudahuvadhoo","Dhaalu Atoll","Maldives","2024-11-21","Azure","Business",187,13,1572
1963,"Engineer","Female","Hwawŏn","Daegu","South Korea","2023-06-20","GCP","Personal",185,71,1463
1963,"Engineer","Female","Hwawŏn","Daegu","South Korea","2024-02-06","GCP","Business",79,9,1449
2001,"Designer","Female","Rájec-Jestřebí","Jihomoravský kraj","Czech Republic","2024-08-15","Azure","Business",71,115,327
2001,"Designer","Female","Rájec-Jestřebí","Jihomoravský kraj","Czech Republic","2024-12-28","AWS","Personal",127,89,1386
1995,"Architect","Male","Videm pri Ptuju","Videm Municipality","Slovenia","2024-08-27","AWS","E-commerce",99,128,812
1995,"Architect","Male","Videm pri Ptuju","Videm Municipality","Slovenia","2024-10-18","AWS","Portfolio",17,124,1037
1995,"Architect","Male","Videm pri Ptuju","Videm Municipality","Slovenia","2024-12-08","Azure","Blog",31,25,1857
1995,"Architect","Male","Videm pri Ptuju","Videm Municipality","Slovenia","2024-05-24","Azure","E-commerce",70,22,1489
1972,"Director","Male","Hünenberg","Zug","Switzerland","2023-06-11","AWS","Business",129,134,1208
1972,"Director","Male","Hünenberg","Zug","Switzerland","2025-01-06","AWS","Personal",71,46,1912
1972,"Director","Male","Hünenberg","Zug","Switzerland","2024-11-03","AWS","Portfolio",193,148,675
1994,"Assistant","Male","Witu","Lamu","Kenya","2025-04-03","Azure","Business",56,119,365
1994,"Assistant","Male","Witu","Lamu","Kenya","2024-08-29","Azure","E-commerce",187,79,912
1994,"Assistant","Male","Witu","Lamu","Kenya","2023-09-08","Azure","Personal",63,65,1065
